Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,,Date,some
3/13/2022,11,MT,41,1542353,,,
3/13/2022,11,SD,247,1363459,,,
3/13/2022,11,PR,4,7012597,,,
3/13/2022,11,MO,37,8703014,,,
3/13/2022,11,NM,2060,3795801,,,
3/13/2022,11,DE,15,1744145,,,
3/13/2022,11,TN,30,9653556,,,
3/13/2022,11,MN,4553,9962403,,,
3/13/2022,11,CA,41518,72105757,,,
3/13/2022,11,NC,9705,16229800,,,
3/13/2022,11,ID,1632,2380686,,,
3/13/2022,11,LA,2927,6105117,,,
3/13/2022,11,MI,6263,15380226,,,
3/13/2022,11,IA,17,4947602,,,
3/13/2022,11,HI,836,2822725,,,
3/13/2022,11,AS,0,96143,,,
3/13/2022,11,PW,0,46792,,,
3/13/2022,11,FM,0,110131,,,
3/13/2022,11,VT,638,1354300,,,
3/13/2022,11,AR,1763,4112376,,,
3/13/2022,11,GU,10,337594,,,
3/13/2022,11,GA,129,14462065,,,
3/13/2022,11,IL,14900,21908184,,,
3/13/2022,11,RI,904,2144329,,,
3/13/2022,11,VI,0,140852,,,
3/13/2022,11,AK,31,1107149,,,
3/13/2022,11,NV,1735,4760150,,,
3/13/2022,11,WV,26,2647544,,,
3/13/2022,11,WA,92,13942764,,,
3/13/2022,11,KY,3546,6360118,,,
3/13/2022,11,MS,31,3782434,,,
3/13/2022,11,SC,3813,7335846,,,
3/13/2022,11,TX,21883,44777465,,,
3/13/2022,11,MD,3464,11595204,,,
3/13/2022,11,DC,898,1432816,,,
3/13/2022,11,IN,4516,9258127,,,
3/13/2022,11,CT,3793,7342903,,,
3/13/2022,11,AZ,7321,11638764,,,
3/13/2022,11,MP,0,106791,,,
3/13/2022,11,NY,13369,38097367,,,
3/13/2022,11,CO,116,10378889,,,
3/13/2022,11,US,202483,556980091,,,
3/13/2022,11,VA,7264,15971685,,,
3/13/2022,11,KS,1727,4475386,,,
3/13/2022,11,PA,141,22214070,,,
3/13/2022,11,AL,925,6130617,,,
3/13/2022,11,MA,83,14354045,,,
3/13/2022,11,ND,36,1065681,,,
3/13/2022,11,FL,12898,36326088,,,
3/13/2022,11,NJ,6046,16682452,,,
3/13/2022,11,OR,26,7486705,,,
3/13/2022,11,UT,29,5080108,,,
3/13/2022,11,OK,6972,5753468,,,
3/13/2022,11,MH,0,57853,,,
3/13/2022,11,WY,42,734281,,,
3/13/2022,11,NH,345,2540616,,,
3/13/2022,11,OH,6771,17318408,,,
3/13/2022,11,ME,75,2716631,,,
3/13/2022,11,NE,36,3095197,,,
3/13/2022,11,WI,4545,9927645,,,
3/12/2022,10,WI,8762,9923100,,,
3/12/2022,10,IN,5909,9253611,,,
3/12/2022,10,DC,1366,1431918,,,
3/12/2022,10,SD,0,1363459,,,
3/12/2022,10,LA,3002,6102190,,,
3/12/2022,10,RI,0,2144329,,,
3/12/2022,10,NM,1937,3793741,,,
3/12/2022,10,MO,3481,8702977,,,
3/12/2022,10,MT,500,1542312,,,
3/12/2022,10,CO,0,10378889,,,
3/12/2022,10,MN,0,9962403,,,
3/12/2022,10,WI,0,9927645,,,
3/12/2022,10,PR,2,7012593,,,
3/12/2022,10,SD,671,1363212,,,
3/12/2022,10,OK,233,5753468,,,
3/12/2022,10,PR,0,7012597,,,
3/12/2022,10,ID,828,2379054,,,
3/12/2022,10,NC,10813,16220095,,,
3/12/2022,10,UT,0,5080108,,,
3/12/2022,10,DE,805,1744130,,,
3/12/2022,10,DE,0,1744145,,,
3/12/2022,10,TN,0,9653556,,,
3/12/2022,10,CA,42095,72064239,,,
3/12/2022,10,ID,0,2380686,,,
3/12/2022,10,TN,4627,9653526,,,
3/12/2022,10,MN,4038,9957850,,,
3/12/2022,10,MD,6234,11591740,,,
3/12/2022,10,TX,29151,44755582,,,
3/12/2022,10,ME,0,2716631,,,
3/12/2022,10,SC,578,7332033,,,
3/12/2022,10,VT,569,1353662,,,
3/12/2022,10,FM,0,110131,,,
3/12/2022,10,AS,2279,96143,,,
3/12/2022,10,HI,2449,2821889,,,
3/12/2022,10,NC,969,16229800,,,
3/12/2022,10,NE,0,3095197,,,
3/12/2022,10,IA,1596,4947585,,,
3/12/2022,10,MI,5320,15373963,,,
3/12/2022,10,LA,0,6105117,,,
3/12/2022,10,PW,0,46792,,,
3/12/2022,10,MA,0,14354045,,,
3/12/2022,10,IA,0,4947602,,,
3/12/2022,10,AS,0,96143,,,
3/12/2022,10,CA,3,72105757,,,
3/12/2022,10,MS,1787,3782403,,,
3/12/2022,10,IL,0,21908184,,,
3/12/2022,10,KY,2884,6356572,,,
3/12/2022,10,WA,6900,13942672,,,
3/12/2022,10,AK,535,1107118,,,
3/12/2022,10,PW,0,46792,,,
3/12/2022,10,MD,753,11595204,,,
3/12/2022,10,GU,1752,337584,,,
3/12/2022,10,VT,0,1354300,,,
3/12/2022,10,AR,1785,4110613,,,
3/12/2022,10,VI,75,140852,,,
3/12/2022,10,RI,1059,2143425,,,
3/12/2022,10,MH,0,57853,,,
3/12/2022,10,IL,26932,21893284,,,
3/12/2022,10,VA,0,15971685,,,
3/12/2022,10,GA,13234,14461936,,,
3/12/2022,10,WV,970,2647518,,,
3/12/2022,10,NV,8687,4758415,,,
3/12/2022,10,AR,0,4112376,,,
3/12/2022,10,NE,48,3095161,,,
3/12/2022,10,ME,1098,2716556,,,
3/12/2022,10,UT,47,5080079,,,
3/12/2022,10,NM,0,3795801,,,
3/12/2022,10,MI,2,15380226,,,
3/12/2022,10,NY,16081,38083998,,,
3/12/2022,10,HI,0,2822725,,,
3/12/2022,10,MT,0,1542353,,,
3/12/2022,10,AL,0,6130617,,,
3/12/2022,10,PA,0,22214070,,,
3/12/2022,10,OH,0,17318408,,,
3/12/2022,10,VI,0,140852,,,
3/12/2022,10,MP,0,106791,,,
3/12/2022,10,AZ,7039,11631443,,,
3/12/2022,10,KS,0,4475386,,,
3/12/2022,10,CT,7393,7339110,,,
3/12/2022,10,OR,3546,7486679,,,
3/12/2022,10,NJ,11247,16676406,,,
3/12/2022,10,DC,0,1432816,,,
3/12/2022,10,FL,12443,36313190,,,
3/12/2022,10,ND,171,1065645,,,
3/12/2022,10,VA,6188,15964421,,,
3/12/2022,10,MS,0,3782434,,,
3/12/2022,10,AK,0,1107149,,,
3/12/2022,10,US,379981,556777608,,,
3/12/2022,10,CO,5372,10378773,,,
3/12/2022,10,MA,5473,14353962,,,
3/12/2022,10,CT,0,7342903,,,
3/12/2022,10,FM,0,110131,,,
3/12/2022,10,FL,0,36326088,,,
3/12/2022,10,NY,3335,38097367,,,
3/12/2022,10,AL,2699,6129692,,,
3/12/2022,10,KS,1506,4473659,,,
3/12/2022,10,PA,12704,22213929,,,
3/12/2022,10,WA,0,13942764,,,
3/12/2022,10,OH,7276,17311637,,,
3/12/2022,10,NH,0,2540616,,,
3/12/2022,10,WY,289,734239,,,
3/12/2022,10,MO,0,8703014,,,
3/12/2022,10,GU,0,337594,,,
3/12/2022,10,US,11998,556980091,,,
3/12/2022,10,MP,0,106791,,,
3/12/2022,10,SC,0,7335846,,,
3/12/2022,10,WY,0,734281,,,
3/12/2022,10,MH,0,57853,,,
3/12/2022,10,NV,0,4760150,,,
3/12/2022,10,OK,250,5746496,,,
3/12/2022,10,NJ,1652,16682452,,,
3/12/2022,10,IN,0,9258127,,,
3/12/2022,10,GA,0,14462065,,,
3/12/2022,10,TX,5051,44777465,,,
3/12/2022,10,NH,73697,2540271,,,
3/12/2022,10,WV,0,2647544,,,
3/12/2022,10,ND,0,1065681,,,
3/12/2022,10,OR,0,7486705,,,
3/12/2022,10,AZ,0,11638764,,,
3/12/2022,10,KY,0,6360118,,,
3/11/2022,10,KY,1822,6360118,,,
3/11/2022,10,AZ,2736,11638764,,,
3/11/2022,10,NV,4351,4749728,,,
3/11/2022,10,WV,1039,2646548,,,
3/11/2022,10,ID,730,2380686,,,
3/11/2022,10,CA,42512,72022144,,,
3/11/2022,10,WI,2991,9927645,,,
3/11/2022,10,RI,452,2144329,,,
3/11/2022,10,LA,9404,6099188,,,
3/11/2022,10,WI,4458,9914338,,,
3/11/2022,10,SD,172,1363459,,,
3/11/2022,10,DC,1006,1430552,,,
3/11/2022,10,IN,4329,9247702,,,
3/11/2022,10,MN,2941,9962403,,,
3/11/2022,10,CO,2599,10378889,,,
3/11/2022,10,MO,3863,8699496,,,
3/11/2022,10,NM,2491,3791804,,,
3/11/2022,10,MT,588,1541812,,,
3/11/2022,10,TN,17,9653556,,,
3/11/2022,10,DE,15,1744145,,,
3/11/2022,10,OK,1023,5753235,,,
3/11/2022,10,SD,717,1362541,,,
3/11/2022,10,PR,18514,7012591,,,
3/11/2022,10,DE,760,1743325,,,
3/11/2022,10,PR,4,7012597,,,
3/11/2022,10,UT,29,5080108,,,
3/11/2022,10,NC,7454,16209282,,,
3/11/2022,10,ID,852,2378226,,,
3/11/2022,10,GA,7103,14448702,,,
3/11/2022,10,VA,2802,15971685,,,
3/11/2022,10,IL,-40332,21866352,,,
3/11/2022,10,MH,0,57853,,,
3/11/2022,10,RI,986,2142366,,,
3/11/2022,10,VI,48,140777,,,
3/11/2022,10,MI,5043,15368643,,,
3/11/2022,10,LA,1875,6105117,,,
3/11/2022,10,MN,4242,9953812,,,
3/11/2022,10,TN,4446,9648899,,,
3/11/2022,10,IA,1740,4945989,,,
3/11/2022,10,NE,25,3095197,,,
3/11/2022,10,NC,4669,16228831,,,
3/11/2022,10,HI,20,2819440,,,
3/11/2022,10,AS,0,93864,,,
3/11/2022,10,SC,2963,7331455,,,
3/11/2022,10,ME,72,2716631,,,
3/11/2022,10,TX,32993,44726431,,,
3/11/2022,10,MD,5636,11585506,,,
3/11/2022,10,FM,309,110131,,,
3/11/2022,10,VT,677,1353093,,,
3/11/2022,10,AR,4230,4108828,,,
3/11/2022,10,VT,53,1354300,,,
3/11/2022,10,GU,22,335832,,,
3/11/2022,10,CA,21529,72105754,,,
3/11/2022,10,AS,0,96143,,,
3/11/2022,10,IA,16,4947602,,,
3/11/2022,10,PW,62,46792,,,
3/11/2022,10,MA,77,14354045,,,
3/11/2022,10,MD,5225,11594451,,,
3/11/2022,10,PW,0,46792,,,
3/11/2022,10,AK,484,1106583,,,
3/11/2022,10,WA,6626,13935772,,,
3/11/2022,10,KY,6353,6353688,,,
3/11/2022,10,IL,4204,21908184,,,
3/11/2022,10,MS,2016,3780616,,,
3/11/2022,10,OR,21,7486705,,,
3/11/2022,10,FM,0,110131,,,
3/11/2022,10,CT,2090,7342903,,,
3/11/2022,10,MA,5956,14348489,,,
3/11/2022,10,VI,69,140852,,,
3/11/2022,10,OH,3546,17318408,,,
3/11/2022,10,AR,938,4112376,,,
3/11/2022,10,NJ,2928,16665159,,,
3/11/2022,10,PA,145,22214070,,,
3/11/2022,10,AL,1392,6130617,,,
3/11/2022,10,MT,37,1542353,,,
3/11/2022,10,HI,492,2822725,,,
3/11/2022,10,NY,16098,38067917,,,
3/11/2022,10,ME,1215,2715458,,,
3/11/2022,10,NE,48,3095113,,,
3/11/2022,10,MI,3209,15380224,,,
3/11/2022,10,NM,1394,3795801,,,
3/11/2022,10,UT,141,5080032,,,
3/11/2022,10,CO,4621,10373401,,,
3/11/2022,10,US,144861,556397627,,,
3/11/2022,10,AK,1,1107149,,,
3/11/2022,10,KS,1064,4475386,,,
3/11/2022,10,AZ,7026,11624404,,,
3/11/2022,10,MP,0,106791,,,
3/11/2022,10,MS,19,3782434,,,
3/11/2022,10,VA,6621,15958233,,,
3/11/2022,10,CT,3249,7331717,,,
3/11/2022,10,ND,138,1065474,,,
3/11/2022,10,FL,13231,36300747,,,
3/11/2022,10,DC,431,1432816,,,
3/11/2022,10,OR,3554,7483133,,,
3/11/2022,10,ND,30,1065681,,,
3/11/2022,10,WV,26,2647544,,,
3/11/2022,10,US,117353,556968093,,,
3/11/2022,10,GU,57,337594,,,
3/11/2022,10,NH,341,2540616,,,
3/11/2022,10,OH,7120,17304361,,,
3/11/2022,10,NY,12899,38094032,,,
3/11/2022,10,FL,3886,36326088,,,
3/11/2022,10,WA,59,13942764,,,
3/11/2022,10,KS,1913,4472153,,,
3/11/2022,10,PA,8817,22201225,,,
3/11/2022,10,AL,2700,6126993,,,
3/11/2022,10,MO,34,8703014,,,
3/11/2022,10,WY,486,733950,,,
3/11/2022,10,NH,-91294,2466574,,,
3/11/2022,10,NV,787,4760150,,,
3/11/2022,10,MH,0,57853,,,
3/11/2022,10,WY,41,734281,,,
3/11/2022,10,SC,1687,7335846,,,
3/11/2022,10,MP,0,106791,,,
3/11/2022,10,TX,16992,44772414,,,
3/11/2022,10,GA,98,14462065,,,
3/11/2022,10,IN,2829,9258127,,,
3/11/2022,10,NJ,6516,16680800,,,
3/11/2022,10,OK,406,5746246,,,
3/10/2022,10,OK,5375,5745840,,,
3/10/2022,10,NJ,5173,16674284,,,
3/10/2022,10,IN,3513,9255298,,,
3/10/2022,10,GA,69,14461967,,,
3/10/2022,10,TX,14394,44755422,,,
3/10/2022,10,AK,721,1106099,,,
3/10/2022,10,PW,58,46792,,,
3/10/2022,10,MD,4134,11589226,,,
3/10/2022,10,DE,887,1742565,,,
3/10/2022,10,IN,4835,9243373,,,
3/10/2022,10,DC,1434,1429546,,,
3/10/2022,10,SD,418,1363287,,,
3/10/2022,10,CA,48424,71979632,,,
3/10/2022,10,ID,846,2379956,,,
3/10/2022,10,AZ,4340,11636028,,,
3/10/2022,10,KY,2353,6358296,,,
3/10/2022,10,WV,1115,2645509,,,
3/10/2022,10,NV,12763,4745377,,,
3/10/2022,10,WI,4441,9909880,,,
3/10/2022,10,WI,3513,9924654,,,
3/10/2022,10,LA,11207,6089784,,,
3/10/2022,10,RI,684,2143877,,,
3/10/2022,10,PR,5,6994077,,,
3/10/2022,10,NM,2245,3789313,,,
3/10/2022,10,MO,3837,8695633,,,
3/10/2022,10,CO,2806,10376290,,,
3/10/2022,10,MN,3369,9959462,,,
3/10/2022,10,SD,646,1361824,,,
3/10/2022,10,OK,2163,5752212,,,
3/10/2022,10,MT,618,1541224,,,
3/10/2022,10,DE,328,1744130,,,
3/10/2022,10,TN,1637,9653539,,,
3/10/2022,10,MA,3197,14353968,,,
3/10/2022,10,TN,5465,9644453,,,
3/10/2022,10,ID,1669,2377374,,,
3/10/2022,10,NC,10627,16201828,,,
3/10/2022,10,UT,17,5080079,,,
3/10/2022,10,PR,83,7012593,,,
3/10/2022,10,MN,4526,9949570,,,
3/10/2022,10,RI,1151,2141380,,,
3/10/2022,10,VI,39,140729,,,
3/10/2022,10,MH,0,57853,,,
3/10/2022,10,IL,16784,21906684,,,
